feature,coef,abs_coef
diff_elo_pre,0.6572241481642663,0.6572241481642663
diff_fg3m_rolling5,0.44167539205902506,0.44167539205902506
diff_fta_rolling5,-0.4090868532253863,0.4090868532253863
diff_ftm_rolling5,0.4020123879294534,0.4020123879294534
diff_fgm_rolling5,-0.29227236667196044,0.29227236667196044
diff_fg3a_rolling5,-0.26175666117581253,0.26175666117581253
diff_fg3_pct_rolling5,-0.24373293742654956,0.24373293742654956
diff_fg_pct_rolling5,0.20165380583803375,0.20165380583803375
diff_back_to_back,-0.15336236897849032,0.15336236897849032
diff_stl_rolling5,0.15109505710365762,0.15109505710365762
diff_ft_pct_rolling5,-0.13233565707843664,0.13233565707843664
diff_pts_rolling5,0.10730899958180827,0.10730899958180827
diff_oreb_rolling5,0.0903539032038599,0.0903539032038599
diff_win_rate_5,-0.07858068271972499,0.07858068271972499
diff_reb_rolling5,0.07791103425589208,0.07791103425589208
diff_tov_rolling5,-0.06768940937132059,0.06768940937132059
diff_pf_rolling5,-0.05124736005361439,0.05124736005361439
diff_blk_rolling5,0.035848797103652415,0.035848797103652415
diff_ast_rolling5,0.034277793383598924,0.034277793383598924
diff_dreb_rolling5,0.029815880928220035,0.029815880928220035
diff_fga_rolling5,-0.017705037087930236,0.017705037087930236
diff_win_streak,-0.007847126652683141,0.007847126652683141
diff_rest_days,0.003513440587698141,0.003513440587698141
