feature,importance_mean,importance_std
diff_elo_pre,0.128391472868217,0.012515406979934189
diff_fg3m_rolling5,0.05097333507046222,0.005878270309363323
diff_fta_rolling5,0.034211397737389446,0.009226576184633984
diff_ftm_rolling5,0.033750244283759945,0.008371595017452299
diff_fg3a_rolling5,0.01327573665124956,0.005028787966651252
diff_fg_pct_rolling5,0.012171031203178872,0.006706045276771014
diff_fgm_rolling5,0.011818176883156294,0.006270613501576042
diff_fg3_pct_rolling5,0.008927757149371319,0.005047011086348539
diff_back_to_back,0.005619612185959566,0.002635551518206388
diff_pts_rolling5,0.003605356871430698,0.0028184604362666123
diff_win_rate_5,0.0028421058345818096,0.001082287337372069
diff_tov_rolling5,0.0027851062905781877,0.0012204113625036734
diff_ft_pct_rolling5,0.0014602740320933893,0.0022864744702790155
diff_ast_rolling5,0.0005987666384382306,0.000710574616341432
diff_dreb_rolling5,0.00036941133042356356,0.0006093694359703784
diff_reb_rolling5,0.0002502551408159803,0.001315241034362973
diff_rest_days,0.0001566130328099713,6.866658774384107e-05
diff_fga_rolling5,3.528543200148615e-06,0.00041527361049136907
diff_win_streak,1.899984800057819e-06,0.00012746670407223952
diff_stl_rolling5,-0.0004350965192279066,0.0022576643778518687
diff_pf_rolling5,-0.0004744533472303969,0.0011575384815558883
diff_blk_rolling5,-0.0006166807808395513,0.0011130744940067204
diff_oreb_rolling5,-0.001757757366512569,0.002425172693008863
