team_id,team,wins_mean,wins_std,losses_mean,losses_std,wins,losses,win_diff
1610612738,BOS,57.38,3.9357978924869923,24.62,3.935797892486992,57.0,25.0,0.38000000000000256
1610612749,MIL,55.43,3.84354371418204,26.57,3.843543714182041,58.0,24.0,-2.5700000000000003
1610612763,MEM,52.67,3.703820031843181,29.33,3.7038200318431818,51.0,31.0,1.6700000000000017
1610612755,PHI,52.47,3.8335441312264305,29.53,3.8335441312264296,54.0,28.0,-1.5300000000000011
1610612743,DEN,51.29,4.269447483947051,30.71,4.2694474839470535,53.0,29.0,-1.7100000000000009
1610612756,PHX,50.13,4.277389461582917,31.87,4.277389461582918,45.0,37.0,5.130000000000003
1610612748,MIA,47.72,4.445131260063298,34.28,4.445131260063298,44.0,38.0,3.719999999999999
1610612742,DAL,46.64,4.407340066825621,35.36,4.407340066825621,38.0,44.0,8.64
1610612744,GSW,45.52,4.349573298472838,36.48,4.349573298472838,44.0,38.0,1.5200000000000031
1610612761,TOR,45.42,4.190368947860308,36.58,4.190368947860308,41.0,41.0,4.420000000000002
1610612739,CLE,45.11,4.261395892133815,36.89,4.261395892133815,51.0,31.0,-5.890000000000001
1610612751,BKN,43.89,4.437887840498955,38.11,4.437887840498955,45.0,37.0,-1.1099999999999994
1610612762,UTA,43.49,4.989878644705589,38.51,4.989878644705589,37.0,45.0,6.490000000000002
1610612752,NYK,43.4,3.730843325468373,38.6,3.730843325468373,47.0,35.0,-3.6000000000000014
1610612746,LAC,43.37,4.478128667606187,38.63,4.478128667606187,44.0,38.0,-0.6300000000000026
1610612740,NOP,42.1,3.8963852712248808,39.9,3.8963852712248808,42.0,40.0,0.10000000000000142
1610612737,ATL,41.81,4.347749911497816,40.19,4.347749911497816,41.0,41.0,0.8100000000000023
1610612758,SAC,41.35,4.326042818170721,40.65,4.326042818170721,48.0,34.0,-6.649999999999999
1610612750,MIN,40.67,4.426857881959924,41.33,4.426857881959924,42.0,40.0,-1.3299999999999983
1610612741,CHI,38.48,4.203125340298885,43.52,4.203125340298885,40.0,42.0,-1.5200000000000031
1610612747,LAL,37.31,4.637778552172355,44.69,4.637778552172355,43.0,39.0,-5.689999999999998
1610612764,WAS,35.41,4.497125905969434,46.59,4.497125905969434,35.0,47.0,0.4099999999999966
1610612766,CHA,32.97,4.91638160447377,49.03,4.91638160447377,,,
1610612760,OKC,32.76,4.050489432953091,49.24,4.050489432953091,40.0,42.0,-7.240000000000002
1610612757,POR,32.47,4.674139039178846,49.53,4.674139039178847,33.0,49.0,-0.5300000000000011
1610612754,IND,31.79,4.04093948472282,50.21,4.040939484722818,35.0,47.0,-3.210000000000001
1610612753,ORL,28.4,3.7952655248401794,53.6,3.795265524840179,34.0,48.0,-5.600000000000001
1610612759,SAS,25.73,4.24229545259058,56.27,4.242295452590578,22.0,60.0,3.7300000000000004
1610612765,DET,23.41,3.5049604098687723,58.59,3.504960409868771,17.0,65.0,6.41
1610612745,HOU,21.41,3.5875626908259117,60.59,3.587562690825912,22.0,60.0,-0.5899999999999999
