team_id,team,wins_mean,wins_std,losses_mean,losses_std
1610612738,BOS,57.38,3.9357978924869923,24.62,3.935797892486992
1610612749,MIL,55.43,3.84354371418204,26.57,3.843543714182041
1610612763,MEM,52.67,3.703820031843181,29.33,3.7038200318431818
1610612755,PHI,52.47,3.8335441312264305,29.53,3.8335441312264296
1610612743,DEN,51.29,4.269447483947051,30.71,4.2694474839470535
1610612756,PHX,50.13,4.277389461582917,31.87,4.277389461582918
1610612748,MIA,47.72,4.445131260063298,34.28,4.445131260063298
1610612742,DAL,46.64,4.407340066825621,35.36,4.407340066825621
1610612744,GSW,45.52,4.349573298472838,36.48,4.349573298472838
1610612761,TOR,45.42,4.190368947860308,36.58,4.190368947860308
1610612739,CLE,45.11,4.261395892133815,36.89,4.261395892133815
1610612751,BKN,43.89,4.437887840498955,38.11,4.437887840498955
1610612762,UTA,43.49,4.989878644705589,38.51,4.989878644705589
1610612752,NYK,43.4,3.730843325468373,38.6,3.730843325468373
1610612746,LAC,43.37,4.478128667606187,38.63,4.478128667606187
1610612740,NOP,42.1,3.8963852712248808,39.9,3.8963852712248808
1610612737,ATL,41.81,4.347749911497816,40.19,4.347749911497816
1610612758,SAC,41.35,4.326042818170721,40.65,4.326042818170721
1610612750,MIN,40.67,4.426857881959924,41.33,4.426857881959924
1610612741,CHI,38.48,4.203125340298885,43.52,4.203125340298885
1610612747,LAL,37.31,4.637778552172355,44.69,4.637778552172355
1610612764,WAS,35.41,4.497125905969434,46.59,4.497125905969434
1610612766,CHA,32.97,4.91638160447377,49.03,4.91638160447377
1610612760,OKC,32.76,4.050489432953091,49.24,4.050489432953091
1610612757,POR,32.47,4.674139039178846,49.53,4.674139039178847
1610612754,IND,31.79,4.04093948472282,50.21,4.040939484722818
1610612753,ORL,28.4,3.7952655248401794,53.6,3.795265524840179
1610612759,SAS,25.73,4.24229545259058,56.27,4.242295452590578
1610612765,DET,23.41,3.5049604098687723,58.59,3.504960409868771
1610612745,HOU,21.41,3.5875626908259117,60.59,3.587562690825912
